Name, Torrent, Magnet, Size, Date, Up, Donw, Overall
[Yaorozu-Raws] Shokugeki no Soma S2 (BS11 1280x720 x264 AAC), https://nyaa.si/download/853824.torrent, magnet:?xt=urn:btih:9c2f743aaa3459ea07b23b96e459e507698f1c44&amp;dn=%5BYaorozu-Raws%5D%20Shokugeki%20no%20Soma%20S2%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.6 GiB, 2016-09-26 06:32, 0, 0, 5
[Yaorozu-Raws] Demi-chan wa Kataritai (BS11 1280x720 x264 AAC), https://nyaa.si/download/911459.torrent, magnet:?xt=urn:btih:f751c2a9c6baa0889a64e20aa82d9cc021f8ed7a&amp;dn=%5BYaorozu-Raws%5D%20Demi-chan%20wa%20Kataritai%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 1.9 GiB, 2017-03-26 02:11, 0, 0, 4
[Yaorozu-Raws] Tantei Kageki Milky Holmes TD - ED (BS-NTV 1280x720 x264 AAC), https://nyaa.si/download/642470.torrent, magnet:?xt=urn:btih:167a58388cb91ae030a57ae0595e2bbf0dffa2d2&amp;dn=%5BYaorozu-Raws%5D%20Tantei%20Kageki%20Milky%20Holmes%20TD%20-%20ED%20%28BS-NTV%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 70.4 MiB, 2015-01-06 04:59, 0, 1, 0
[Yaorozu-Raws] Sidonia no Kishi Daikyuu Wakusei Seneki - 01 (BS-TBS+TBS 1280x720 x264 AAC), https://nyaa.si/download/677397.torrent, magnet:?xt=urn:btih:b8096ae1efd3e712be8245e7651a9988cb5cba9b&amp;dn=%5BYaorozu-Raws%5D%20Sidonia%20no%20Kishi%20Daikyuu%20Wakusei%20Seneki%20-%2001%20%28BS-TBS%2BTBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 352.3 MiB, 2015-04-12 03:00, 0, 0, 0
[Yaorozu-Raws] Ajin (TBS 1280x720 x264 AAC), https://nyaa.si/download/801151.torrent, magnet:?xt=urn:btih:bdf0599a3a1ed3239bf03242f58f56705636daf7&amp;dn=%5BYaorozu-Raws%5D%20Ajin%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.4 GiB, 2016-04-08 21:41, 0, 0, 0
[Yaorozu-Raws] Joker Game (BS11 1280x720 x264 AAC), https://nyaa.si/download/826551.torrent, magnet:?xt=urn:btih:5e7a57c553bbb9508074bbd13dcf15375559a4e4&amp;dn=%5BYaorozu-Raws%5D%20Joker%20Game%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 2.5 GiB, 2016-07-03 04:52, 0, 0, 0
[Yaorozu-Raws] Ajin S2 - OP ED (1280x720 x264 AAC), https://nyaa.si/download/859511.torrent, magnet:?xt=urn:btih:bf3ce29721df08342bddbd2b75daeefc6e688bbd&amp;dn=%5BYaorozu-Raws%5D%20Ajin%20S2%20-%20OP%20ED%20%281280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 165.3 MiB, 2016-10-13 04:53, 0, 0, 0
[Yaorozu-Raws] Sidonia no Kishi - Daikyuu Wakusei Seneki (BS-TBS+TBS 1280x720 x264 AAC), https://nyaa.si/download/705746.torrent, magnet:?xt=urn:btih:17d375d95359c3f181c373e04b6ea32c57c82929&amp;dn=%5BYaorozu-Raws%5D%20Sidonia%20no%20Kishi%20-%20Daikyuu%20Wakusei%20Seneki%20%28BS-TBS%2BTBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 4.6 GiB, 2015-06-27 13:57, 0, 0, 0
[Yaorozu-Raws] Re - Zero Kara Hajimeru Isekai Seikatsu 01 - 25 (TX 1280x720 x264 AAC), https://nyaa.si/download/851459.torrent, magnet:?xt=urn:btih:9fb54e9043826a55d460edc40b0a4093131a435c&amp;dn=%5BYaorozu-Raws%5D%20Re%20-%20Zero%20Kara%20Hajimeru%20Isekai%20Seikatsu%2001%20-%2025%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 5.9 GiB, 2016-09-18 21:31, 0, 0, 0
[Yaorozu-Raws] Re - Zero Kara Hajimeru Isekai Seikatsu - 01-13 (TX 1280x720 x264 AAC), https://nyaa.si/download/824660.torrent, magnet:?xt=urn:btih:313ac5ac0a1914d7f81d9a3da604ee4142be8c03&amp;dn=%5BYaorozu-Raws%5D%20Re%20-%20Zero%20Kara%20Hajimeru%20Isekai%20Seikatsu%20-%2001-13%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 2.9 GiB, 2016-06-27 04:09, 0, 0, 0
[Yaorozu-Raws] Re - Zero Kara Hajimeru Isekai Seikatsu 14 - 25 (TX 1280x720 x264 AAC), https://nyaa.si/download/851457.torrent, magnet:?xt=urn:btih:2544bb1d116727bc8c91e64a53c6b223059bc2c4&amp;dn=%5BYaorozu-Raws%5D%20Re%20-%20Zero%20Kara%20Hajimeru%20Isekai%20Seikatsu%2014%20-%2025%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce, 3.0 GiB, 2016-09-18 21:30, 0, 0, 0