Name | Torrent | Magnet | Size | Date | Up | Donw | Overall
[초다링-Raws] Idolmaster Cinderella Girls Gekijou (BS11 1280x720 x264 AAC) | https://nyaa.si/download/992800.torrent | magnet:?xt=urn:btih:52d71d5ba3985aa7a2a8f4082c57254efb2c7326&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Idolmaster%20Cinderella%20Girls%20Gekijou%20%28BS11%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 869.4 MiB | 2018-01-02 07:26 | 0 | 0 | 88
[초다링-Raws] FateKaleid Liner Prisma Illya Drei!! (AT-X 1280x720 x264 AAC) | https://nyaa.si/download/858509.torrent | magnet:?xt=urn:btih:09bfea43f113438de4a48387e6c770c286b0d6bb&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20FateKaleid%20Liner%20Prisma%20Illya%20Drei%21%21%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.6 GiB | 2016-10-10 03:37 | 0 | 0 | 5
[초다링-Raws] Yamada-kun to 7-nin no Majo (2015) (MX 1280x720 x264 AAC) | https://nyaa.si/download/706299.torrent | magnet:?xt=urn:btih:f1fa0d63d5c5aac1d9571d51f59a2f38cead93d5&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Yamada-kun%20to%207-nin%20no%20Majo%20%282015%29%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 2.9 GiB | 2015-06-29 04:30 | 0 | 0 | 4
[초다링-Raws] Boku dake ga Inai Machi (CX 1280x720 x264 AAC) | https://nyaa.si/download/797058.torrent | magnet:?xt=urn:btih:f819c7401a492821245ecc766936085092c85ead&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Boku%20dake%20ga%20Inai%20Machi%20%28CX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 2.6 GiB | 2016-03-25 21:46 | 0 | 0 | 2
[초다링-Raws] Kono Subarashii Sekai ni Shukufuku o! (MX 1280x720 x264 AAC) | https://nyaa.si/download/794333.torrent | magnet:?xt=urn:btih:feb415862d30652dee43a01b917294c0e6361f59&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Kono%20Subarashii%20Sekai%20ni%20Shukufuku%20o%21%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.3 GiB | 2016-03-16 13:54 | 0 | 0 | 2
[초다링-Raws] Choujigen Game Neptune The Animation (MX 1280x720 x264 AAC) | https://nyaa.si/download/477732.torrent | magnet:?xt=urn:btih:ca1e83a61906c5dc20100fa8525b1ab978a37677&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Choujigen%20Game%20Neptune%20The%20Animation%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.1 GiB | 2013-09-28 18:34 | 1 | 0 | 2
[초다링-Raws] Stella Jogakuin Koutouka C3-bu (TBS 1280x720 x264 AAC) | https://nyaa.si/download/478011.torrent | magnet:?xt=urn:btih:7c7d7d035185bc4154b6ed75e872ed05208fadbc&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Stella%20Jogakuin%20Koutouka%20C3-bu%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.3 GiB | 2013-09-29 11:43 | 0 | 0 | 2
[초다링-Raws] Charlotte (TUT 1280x720 x264 AAC) | https://nyaa.si/download/738195.torrent | magnet:?xt=urn:btih:0a06a099c50a12d9dd43b4176213ff5c2d05ce61&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Charlotte%20%28TUT%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.5 GiB | 2015-09-27 05:13 | 0 | 0 | 2
[초다링-Raws] Dagashi Kashi (TBS 1280x720 x264 AAC) | https://nyaa.si/download/799291.torrent | magnet:?xt=urn:btih:b99b0b22078e92d797e01e97cc8042cfedaab9a8&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Dagashi%20Kashi%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.7 GiB | 2016-04-02 07:44 | 0 | 0 | 1
[초다링-Raws] Netoge no Yome wa Onnanoko ja Nai to Omotta (AT-X 1280x720 x264 AAC) | https://nyaa.si/download/823454.torrent | magnet:?xt=urn:btih:0da6b0de3da3ff382929f32971d30adc9443cdc6&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Netoge%20no%20Yome%20wa%20Onnanoko%20ja%20Nai%20to%20Omotta%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.9 GiB | 2016-06-24 06:33 | 0 | 0 | 1
[초다링-Raws] Shoujo-tachi wa Kouya o Mezasu (MX 1280x720 x264 AAC) | https://nyaa.si/download/796620.torrent | magnet:?xt=urn:btih:afe3ae24bd0fae897ca8573cce7aff9fc441a1ab&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Shoujo-tachi%20wa%20Kouya%20o%20Mezasu%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 2.9 GiB | 2016-03-24 12:06 | 0 | 0 | 1
[초다링-Raws] Mahou Shoujo Ikusei Keikaku (AT-X 1280x720 x264 AAC) | https://nyaa.si/download/885632.torrent | magnet:?xt=urn:btih:7b2506fba68a3e248fae747f4ad91f751ad11ab0&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Mahou%20Shoujo%20Ikusei%20Keikaku%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.3 GiB | 2017-01-01 10:39 | 0 | 0 | 1
[초다링-Raws] Kami-sama no Inai Nichiyoubi (MX 1280x720 x264 AAC) | https://nyaa.si/download/475401.torrent | magnet:?xt=urn:btih:6df5cc37d72c96002725df273a561adbc115392e&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Kami-sama%20no%20Inai%20Nichiyoubi%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.4 GiB | 2013-09-21 14:59 | 0 | 0 | 1
[초다링-Raws] Kami nomi zo Shiru Sekai Megami Hen (TX 1280x720 x264 AAC) | https://nyaa.si/download/476740.torrent | magnet:?xt=urn:btih:b3b9c54e110f6036cc3ff41dfa05044f5a144090&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Kami%20nomi%20zo%20Shiru%20Sekai%20Megami%20Hen%20%28TX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.8 GiB | 2013-09-25 12:37 | 0 | 0 | 1
[초다링-Raws] Kantai Collection - KanColle (MX 1280x720 x264 AAC) | https://nyaa.si/download/674781.torrent | magnet:?xt=urn:btih:16cdcc65adbd36f19e17d84c1f979a1ebdd72ee6&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Kantai%20Collection%20-%20KanColle%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 5.2 GiB | 2015-04-06 09:40 | 0 | 0 | 1
[초다링-Raws] Dungeon ni Deai o Motomeru no wa Machigatte Iru Darouka (MX 1280x720 x264 AAC) | https://nyaa.si/download/705369.torrent | magnet:?xt=urn:btih:a2b8f80a30cc63783ffba8329b62ced9659e2b53&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Dungeon%20ni%20Deai%20o%20Motomeru%20no%20wa%20Machigatte%20Iru%20Darouka%20%28MX%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 4.4 GiB | 2015-06-26 19:14 | 0 | 0 | 1
[초다링-Raws] Joukamachi no Dandelion (TBS 1280x720 x264 AAC) | https://nyaa.si/download/734762.torrent | magnet:?xt=urn:btih:03d4b48d48f9a83003ce8080d615f05de69664e4&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Joukamachi%20no%20Dandelion%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.5 GiB | 2015-09-18 05:01 | 0 | 0 | 1
[초다링-Raws] WORKING!!! (GTV 1280x720 x264 AAC) | https://nyaa.si/download/738191.torrent | magnet:?xt=urn:btih:684549c52550550b7479ab60a3f10682afe5b173&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20WORKING%21%21%21%20%28GTV%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 2.9 GiB | 2015-09-27 05:01 | 0 | 0 | 1
[초다링-Raws] Love Lab (MBS 1280x720 x264 AAC) | https://nyaa.si/download/477247.torrent | magnet:?xt=urn:btih:05d7e5cc0f78a9bffd19af3c5e3a4e6e1004080a&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Love%20Lab%20%28MBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 3.4 GiB | 2013-09-27 07:40 | 1 | 0 | 1
[초다링-Raws] Classroom☆Crisis - 02 (TBS 1280x720 x264 AAC) | https://nyaa.si/download/710328.torrent | magnet:?xt=urn:btih:2049fbbb8ba850efdca61667697f5556723eb00c&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20Classroom%E2%98%86Crisis%20-%2002%20%28TBS%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 263.1 MiB | 2015-07-11 03:39 | 0 | 1 | 0
[초다링-Raws] WORKING!!! - 09 (GTV 1280x720 x264 AAC) | https://nyaa.si/download/728081.torrent | magnet:?xt=urn:btih:40d077cf41f23f3e85fbbfacee809bcbd360b976&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20WORKING%21%21%21%20-%2009%20%28GTV%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 227.9 MiB | 2015-08-29 23:57 | 0 | 0 | 0
[초다링-Raws] NEW GAME! - 02 (AT-X 1280x720 x264 AAC) | https://nyaa.si/download/834713.torrent | magnet:?xt=urn:btih:ad162a728cd92df7c5f1f02a8c1f6211a3d63b07&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20NEW%20GAME%21%20-%2002%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 331.4 MiB | 2016-07-28 03:06 | 0 | 1 | 0
[초다링-Raws] FateKaleid Liner Prisma Illya Drei!! - 02 (AT-X 1280x720 x264 AAC) | https://nyaa.si/download/834891.torrent | magnet:?xt=urn:btih:63714a7ed95224a69d7ee3a0678d817cd66a4ddd&amp;dn=%5B%EC%B4%88%EB%8B%A4%EB%A7%81-Raws%5D%20FateKaleid%20Liner%20Prisma%20Illya%20Drei%21%21%20-%2002%20%28AT-X%201280x720%20x264%20AAC%29&amp;tr=http%3A%2F%2Fnyaa.tracker.wf%3A7777%2Fannounce&amp;tr=udp%3A%2F%2Fopen.stealth.si%3A80%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.opentrackr.org%3A1337%2Fannounce&amp;tr=udp%3A%2F%2Ftracker.coppersurfer.tk%3A6969%2Fannounce&amp;tr=udp%3A%2F%2Fexodus.desync.com%3A6969%2Fannounce | 419.6 MiB | 2016-07-28 14:09 | 0 | 0 | 0
